victim_race,investigator_race,keywords_freq,punishment_severity,number_of_allegation
Black,Black,0.14269238667000084,65.76196473551637,3176
Black,Asian/Pacific Islander,0.11620264517632968,57.53061224489796,196
Black,Hispanic,0.1508024676879786,81.01101036269431,1544
Black,White,0.14015601482373916,60.865101037684326,3662
Black,lost,0.15772694360773798,2.5666912306558585,1357
Asian/Pacific Islander,Black,,,0
Asian/Pacific Islander,Asian/Pacific Islander,,,0
Asian/Pacific Islander,Hispanic,,,0
Asian/Pacific Islander,White,,,0
Asian/Pacific Islander,lost,,,0
Hispanic,Black,0.1532715737329736,2.7466666666666666,225
Hispanic,Asian/Pacific Islander,0.1951219512195122,11.0,2
Hispanic,Hispanic,0.1419114117325135,6.319672131147541,244
Hispanic,White,0.1450937072117303,2.7874015748031495,635
Hispanic,lost,0.16160979185162977,0.47619047619047616,126
White,Black,0.1471018410353931,40.552173913043475,230
White,Asian/Pacific Islander,0.13327920009520272,16.5,4
White,Hispanic,0.15703999676469885,78.88461538461539,78
White,White,0.1481879954372872,74.95195195195195,333
White,lost,0.16861939496149847,39.843283582089555,134
lost,Black,0.16266245275914562,100.41095890410959,146
lost,Asian/Pacific Islander,,,0
lost,Hispanic,0.14699166636146616,183.1,40
lost,White,0.14438107010192427,111.15151515151516,66
lost,lost,0.1552095943592949,50.556179775280896,178
